365nm,405nm,473nm,530nm,575nm,621nm,660nm,735nm,770nm,830nm,850nm,890nm,940nm,label
14.31,29.69,78.11,57.17,0.69,26.62,7.5,115.27,20.22,71.44,96.84,9.26,24.91,0
14.42,31.28,81.1,60.02,0.52,27.91,8.46,118.14,21.94,72.52,98.23,10.36,25.81,0
14.79,30.07,80.1,58.15,0.59,27.57,8.55,119.2,21.25,72.25,98.83,10.17,26.51,0
14.8,30.11,79.87,57.44,0.47,27.38,8.21,118.0,21.12,70.99,99.09,10.75,26.17,0
15.5,31.56,83.2,61.06,0.68,28.44,8.82,121.91,21.29,72.58,99.34,11.4,26.32,0
15.24,31.78,84.38,61.2,0.41,29.03,8.06,125.18,21.45,73.14,101.61,11.18,26.51,0
14.87,29.55,81.23,57.97,0.53,26.94,7.84,120.45,20.66,70.89,99.36,10.62,26.31,0
14.07,31.26,83.5,60.32,0.52,28.6,8.49,122.3,20.16,71.51,101.25,10.61,26.52,0
15.26,32.09,84.93,60.27,0.65,29.11,8.37,123.32,21.26,72.97,102.46,10.4,26.88,0
17.08,34.93,92.29,67.11,0.91,32.26,11.24,129.42,22.83,74.98,105.6,11.16,27.7,0
15.06,31.33,81.2,61.11,0.53,27.9,7.88,121.03,21.77,74.18,99.55,10.43,24.96,0
14.84,31.05,81.73,60.79,0.56,28.79,8.46,120.34,22.19,72.68,99.18,11.27,25.24,0
15.32,31.14,81.96,61.66,0.65,29.7,8.56,121.96,22.35,73.22,99.09,11.61,26.39,0
13.81,30.17,79.95,58.2,0.71,27.34,7.93,119.36,21.29,71.19,99.21,11.04,26.14,0
14.31,30.23,80.92,57.99,0.62,28.04,8.27,122.14,21.5,72.0,99.33,10.57,26.16,0
15.52,33.02,86.83,63.51,0.55,30.89,9.35,128.6,22.22,74.16,102.57,11.67,26.64,0
14.99,30.53,81.99,59.28,1.13,28.68,8.38,123.76,22.0,72.69,99.84,10.93,25.57,0
14.1,30.45,80.06,57.32,0.4,27.43,8.17,119.11,21.16,71.22,98.87,10.84,25.64,0
16.17,32.6,87.0,63.07,0.4,30.13,9.37,124.14,21.36,73.61,101.75,10.64,26.33,0
14.81,32.0,84.17,60.31,0.78,29.01,8.94,122.12,21.47,71.94,102.49,10.07,26.09,0
13.64,29.58,79.6,58.69,0.66,27.13,8.06,119.89,21.22,72.72,99.44,9.56,24.85,0
11.86,26.76,74.35,53.9,0.52,24.49,6.81,115.2,20.54,70.65,96.53,9.77,24.65,0
14.36,29.92,80.57,58.91,0.42,27.73,8.09,121.27,21.31,72.69,98.52,10.15,25.47,0
14.72,30.78,81.95,60.42,0.64,27.41,8.33,122.38,21.71,73.88,100.5,10.95,25.6,0
15.04,31.73,82.89,62.13,0.48,28.85,8.15,124.77,21.84,72.89,101.24,10.57,25.43,0
14.13,30.65,81.19,59.04,0.43,28.17,7.51,124.65,21.59,73.1,100.53,10.83,26.19,0
